Product Name,Brand,Category,Cantidad de Búsquedas,Término de Búsqueda,Price,Avg. Price per Mo,Net Margin,LQS,# of Reviews,Rating,Min. Price,Net,FBA Fees,Score for PL,Score for Reselling,# of Sellers,Rank,Avg. BSR per Mo,Inventory,Est. Sales,Est. Revenue,Page Sales Share,Page Rev. Share,Rev. per Review,Profit Potential,Available from,Best Seller in ,A+,Weight,Seller Type,Variants,ASIN,URL
"Birdman Fitmingo: Proteína Vegana con Fit, Beauty y Balance Blends. Con Ácido Hialurónico, Inositol, Potenciadores de Colágeno, Vitamina C, Vitamina D3, Zinc, Enzimas Digestivas y Svetol (1700g, Blueberry)",BIRDMAN,Salud y Cuidado Personal,1,Proteina Cosmetica,1597,1532.2,80,82,149,4.6,1597,1275.5,321.5,9,10,4,29,24,10,4864,7738223,0%,0%,51934,1551008,4/18/2024,,TRUE,3.86,FBA,12,B0D27BMD81,https://www.amazon.com.mx/dp/B0D27BMD81
"Birdman Fitmingo: Proteína Vegana con Fit, Beauty y Balance Blends. Con Ácido Hialurónico, Inositol, Potenciadores de Colágeno, Vitamina C, Vitamina D3, Zinc, Enzimas Digestivas y Svetol (1700g, Vainilla)",BIRDMAN,Salud y Cuidado Personal,1,Proteina Baja En Sodio,1546,1689,80,84,359,4.7,1546,1232.94,313.06,7,10,5,29,24,10,4834,7408940,13.83%,21.32%,20638,1192006.39,4/18/2024,,TRUE,3.86,FBA,12,B0D2729DGT,https://www.amazon.com.mx/dp/B0D2729DGT
"Birdman Fitmingo: Proteína Vegana con Fit, Beauty y Balance Blends. Con Ácido Hialurónico, Inositol, Potenciadores de Colágeno, Vitamina C, Vitamina D3, Zinc, Enzimas Digestivas y Svetol (1700g, Moka)",BIRDMAN,Salud y Cuidado Personal,2,Proteina Alta En Fibra | Proteina Nutraceutico,1298,1354.83,79,84,273,4.7,1298,1021.19,276.81,8,10,5,29,24,10,4855,6301790,38.83%,50%,23083,991575.49,4/18/2024,,TRUE,3.86,FBA,12,B0D272BBVV,https://www.amazon.com.mx/dp/B0D272BBVV
"Birdman Fitmingo: Proteína Vegana con Fit, Beauty y Balance Blends. Con Ácido Hialurónico, Inositol, Potenciadores de Colágeno, Vitamina C, Vitamina D3, Zinc, Enzimas Digestivas y Svetol. Sabor Moka 1.02kg",BIRDMAN,Salud y Cuidado Personal,1,Proteina De Levadura,894.2,1055.97,76,84,703,4.7,894.2,682.73,211.47,7,10,8,29,24,25,4864,4493083,18.64%,21.49%,6391,415099.84,8/13/2023,,TRUE,2.69,FBA,12,B0CD2NH797,https://www.amazon.com.mx/dp/B0CD2NH797
Optimum Nutrition Gold Standard 100% Whey Doble Chocolate Bote,OPTIMUM NUTRITION,Salud y Cuidado Personal,4,Proteina Alta En Fibra Bajo En Sodio | Proteina Cosmetica | Proteina Nutraceutico | Proteina Sarcopenia,1799,1546.21,80,65,3628,4.5,1799,1439.67,359.33,8,0,1,54,48,10,2378,3820662,9.63%,16.41%,1053,3423535.26,4/18/2018,,TRUE,5.62,MCH,6,B07B33QR7C,https://www.amazon.com.mx/dp/B07B33QR7C
"Optimum Nutrition - Gold Standard - Proteina de Suero, Chocolate Blanco 5Lb/2.26Kg",OPTIMUM NUTRITION,Salud y Cuidado Personal,1,Proteina Pet Care Vegano,1591.52,1402.35,79,72,4692,4.7,1591.52,1263.4,328.12,7,10,3,54,48,30,2376,3683793,11.29%,18.58%,785,1000612.8,8/5/2012,,TRUE,5.59,MCH,6,B0030FU6VA,https://www.amazon.com.mx/dp/B0030FU6VA
"Birdman Falcon Performance Proteina Premium Alto Rendimiento En Polvo, 30gr proteina y 3gr Creatina por porción, Sin Inflamacion, Sin Acne, Sabor Choco Bronze | 50 servicios | 1.9kg",BIRDMAN,Salud y Cuidado Personal,8,Proteina Alta En Fibra | Proteina Alta En Fibra Bajo En Sodio | Proteina Baja En Sodio | Proteina Cosmetica | Proteina De Levadura | Proteina Nutraceutico | Proteina Pet Care Vegano | Proteina Sarcopenia,1097.82,1527.64,77,82,5292,4.6,1097.82,847.56,250.26,7,9,11,57,49,0,2725,3330858,10.44%,15.93%,629,209963.73,3/12/2020,,TRUE,4.45,MCH,2,B085WB2DCP,https://www.amazon.com.mx/dp/B085WB2DCP
"Birdman Fitmingo: Proteína Vegana con Fit, Beauty y Balance Blends. Con Ácido Hialurónico, Inositol, Potenciadores de Colágeno, Vitamina C, Vitamina D3, Zinc, Enzimas Digestivas y Svetol. Sabor Moka 510g",BIRDMAN,Salud y Cuidado Personal,2,Proteina Alta En Fibra Bajo En Sodio | Proteina Pet Care Vegano,598,618.69,73,84,988,4.7,598,437.31,160.69,7,10,9,29,24,39,4864,2910704,0%,0%,2946,236341.76,8/13/2023,,TRUE,1.52,FBA,12,B0CD2QV6M3,https://www.amazon.com.mx/dp/B0CD2QV6M3
"Optimum Nutrition Gold Standard 100% Whey, Proteína En Polvo Sabor Doble Chocolate, 2 Lb",OPTIMUM NUTRITION,Salud y Cuidado Personal,1,Proteina Baja En Sodio,867.2,844.67,76,60,3601,4.7,867.2,660.37,206.83,8,10,4,54,48,30,2370,2263937,6.78%,6.51%,629,391269.22,4/18/2018,,FALSE,2.36,MCH,6,B07B2X7H1F,https://www.amazon.com.mx/dp/B07B2X7H1F
"Birdman Fitmingo Proteína Vegana con Fit, Beauty y Balance Blends. Con Ácido Hialurónico, Inositol, Potenciadores de Colágeno, Vitamina C, Vitamina D3, Zinc, Svetol | Sabor Vainilla, 10 Sobres",BIRDMAN,Salud y Cuidado Personal,1,Proteina Sarcopenia,419,421.1,71,79,703,4.7,419,297.93,121.07,7,10,2,29,24,6,4838,2027122,19.59%,8.7%,2884,720692.67,1/10/2024,,FALSE,0.93,MCH,12,B0DLR838TK,https://www.amazon.com.mx/dp/B0DLR838TK
