ASIN,Product_Name,Nutritional_Values,Ingredients,Value_Proposition,Key_Labels,Primary_Colors,Secondary_Colors,Intended_Segment,Additional_Notes
B009IXOFOC,Hill's Science Diet Adult 1-6 Lamb & Brown Rice,Proteína: 19%; Grasas: 13%; Fibra: 3%; Humedad: 10%,Harina de cordero; arroz integral; arroz de cervecería; trigo entero; harina de proteína de maíz; maíz entero; grasa de pollo; cebada perlada quebrada; saborizante de pollo hidrolizado; pulpa de remolacha deshidratada; aceite de soya; linaza; ácido láctico; vitaminas; minerales,Nutrición científicamente desarrollada para perros adultos 1-6 años,Recomendado por veterinarios; Sin conservadores artificiales; Sin colores sintéticos; Sin sabores artificiales; ActivBiome+,Rojo,Blanco,Dueños de perros adultos (1-6 años),Cordero como ingrediente #1. Fórmula Multi-Benefit. 75 años de ciencia nutricional
B00J074W94,Orgain Organic Protein Powder Chocolate Fudge,Calorías: 150; Proteínas: 21g; Grasas: 4.5g; Carbohidratos: 15g; Fibra: 7g; Azúcar: <1g,Proteína de guisante orgánica; proteína de arroz integral orgánica; proteína de frijol mungo orgánica; semilla de chía orgánica; acacia orgánica; aceite de girasol orgánico; dextrina de arroz orgánica; lecitina de girasol; extracto de romero orgánico; cacao alcalinizado orgánico; sabores naturales orgánicos; fibra de inulina de agave orgánica; extracto de stevia; sal marina; acacia orgánica; goma guar orgánica; goma xantana,Proteína vegetal orgánica con sabor cremoso a chocolate,Orgánico; Vegano; Sin gluten; Sin soja; Proteína vegetal,Verde,Blanco,Veganos y atletas conscientes de la salud,Certificado USDA Orgánico. 20 porciones por envase. Nuevo sabor más cremoso
B00U8HVQN0,Dymatize ISO100 Hydrolyzed Whey Protein Chocolate,Calorías: 120; Proteína: 25g; BCAAs: 5.5g; Leucina: 2.6g; Carbohidratos: 2g; Azúcar: 1g,Aislado de proteína whey hidrolizada; aislado de proteína whey; cacao en polvo; sabores naturales y artificiales; lecitina de soya; cloruro de potasio; sucralosa,Proteína de absorción rápida hidrolizada para máximo rendimiento deportivo,Hidrolizada; Informed Choice; Sin lactosa; Absorción rápida; Premium,Azul; Blanco,Rojo; Chocolate,Atletas de élite; Competidores; Profesionales del fitness,71 porciones; 5lb; Proceso de hidrólisis para digestión superior; Chocolate gourmet
B01BODRE50,SASCHA FITNESS Proteína Hidrolizada Aislada Vainilla,Calorías: 110; Proteínas: 25g; Grasas: 0g; Carbohidratos: menos de 1g; Azúcares: 0g,Proteína aislada de suero de leche hidrolizada; saborizante natural y artificial a vainilla; lecitina de girasol (Helianthus annuus); goma xantana; extracto de stevia (96 mg/100g); proteasa; lipasa; amilasa y lactasa,Cero lactosa; cero grasas trans; cero azúcares; endulzado con stevia,Hidrolizada; Cero azúcares; Sin endulzantes artificiales; Cero carbohidratos,Negro,Azul,Atletas; Fisiculturistas,"25g proteína por porción, sabor vainilla helado, certificaciones FDA y GMP"
B01BODRE6Y,SASCHA FITNESS Proteína Hidrolizada Aislada Chocolate,Calorías: 110; Proteínas: 25g; Grasas: 0g; Carbohidratos: menos de 1g; Azúcares: 0g,Proteína aislada de suero de leche hidrolizada; cocoa (Theobroma cacao); lecitina de girasol (Helianthus annuus); saborizante natural y artificial a chocolate; goma xantana; extracto de stevia (88 mg/100g); proteasa; lipasa; amilasa y lactasa,Cero lactosa; cero grasas trans; cero azúcares; endulzado con stevia,Hidrolizada; Cero azúcares; Sin endulzantes artificiales; Cero carbohidratos,Negro,Rosa,Atletas; Fisiculturistas,"25g proteína por porción, procesado con enzimas para mejor absorción, certificaciones FDA y GMP"
B01N9VNDGT,Dymatize Elite 100% Whey Protein Powder Gourmet Vanilla,Calorías: 140; Proteína: 25g; Grasas: 2.5g; Carbohidratos: 3g; BCAAs: 5.5g; Leucina: 2.7g,Whey protein blend (concentrado de proteína whey; aislado de proteína whey; concentrado de proteína whey hidrolizada); harina de maní parcialmente desgrasada; cacao en polvo; sabores naturales y artificiales; lecitina de soya; sal; goma blend (goma de celulosa; goma xantana; carragenina); cloruro de potasio; sucralosa; acesulfame potásico,Proteína de suero de alta calidad con aminoácidos esenciales para construcción muscular,Proteína; Sin gluten; BCAAs; Alta calidad; Elite,Azul; Blanco,Rojo; Dorado,Atletas; Fisioculturistas; Entusiastas del fitness,Informed Choice certificado; 67 porciones; Sabor vainilla gourmet
B079FHJMMG,Diamond Naturals Skin & Coat Salmon & Potato Formula,Proteína: 25% mínimo; Grasa: 14% mínimo; Fibra: 5.5% máximo; Humedad: 10% máximo,Salmón; harina de pescado; papas; guisantes; harina de guisantes; aceite de canola; sabor natural; vitaminas; minerales; probióticos,Nutrición completa para piel y pelaje saludable con salmón real como primer ingrediente,Salmón real; Probióticos; Superalimentos; Sin granos; Hecho en USA,Azul; Blanco,Gris; Verde,Perros de todas las edades; Dueños conscientes de la calidad,30 libras; Empresa familiar desde 1970; Tecnología probiótica K9 Strain
B07B33QR7C,Gold Standard 100% Whey Double Rich Chocolate,Calorías: 119; Proteínas: 24g; Grasas: 1g; Carbohidratos: 3g; Azúcares: 1g; Sodio: 50mg; BCAAs: 5.5g; Glutamina: 4g,Mezcla de proteínas (aislado de proteína de suero de leche; concentrado de proteína de suero; péptidos de suero); Emulsificante (lecitina de soya); Cacao en polvo; Saborizantes; Edulcorante (950),Proteína de suero #1 en ventas mundiales con 24g proteína y 5.5g BCAAs,100% proteína de suero; 24g proteína; 5.5g BCAAs; Libre de gluten; Banned Substance Tested,Negro; Rojo,Dorado; Blanco,Atletas; Personas activas; Culturistas,"5 lbs (2.27kg), 74 porciones, certificado Informed-Sport, más de 35 años de calidad"
B07CPDQ2D5,Ensure Advance Sabor Vainilla,Calorías: 252; Proteína: 13g; Omega 3 y 6; 28 vitaminas y minerales; CaHMB,Concentrado de proteína de leche; aceites vegetales; vitaminas; minerales; CaHMB; fibra,Nutrición especializada para recuperación de masa muscular en adultos mayores,CaHMB; 28 vitaminas; Omega 3 y 6; Marca #1; Clínicamente comprobado,Azul; Dorado,Blanco; Plateado,Adultos mayores; Personas en recuperación,400g equivale a 8 porciones de 237ml; Avalado por Colegio Mexicano de Nutrición
B085WB2DCP,Falcon Performance Proteína Vegetal Choco Bronze,Calorías: 160; Proteínas: 30g; Grasas: 3g; Carbohidratos: 2.6g; Azúcares: 0g; Sodio: 440mg; Potasio: 90mg; Hierro: 299mg,"Proteína de chícharo; Proteína de arroz; Creatina monohidratada; Aminoácidos (L-Leucina, L-Isoleucina, L-Valina); Cacao; Sabor chocolate natural; Extracto de cereza; Sal; Goma guar orgánica; ProHydrolase; Concentrado de fruta monje; Extracto de cúrcuma; Stevia",30g proteína vegetal + 3g creatina + 6g BCAAs para alto rendimiento,100% vegetal; 30g proteína; 3g creatina; 6g BCAAs; Sin azúcar,Negro; Naranja,Bronce; Rojo,Atletas veganos; Deportistas de alto rendimiento; Personas fitness,"1.9kg, perfil completo de aminoácidos, con probióticos Bacillus coagulans, endulzado con monk fruit y stevia"
